Timestamp,py_x,py_y,py_z
2024-09-30 18:42:19,2.26200008392334,5.626950263977051,7.380000114440918
2024-09-30 18:42:22,1.6680001020431519,5.887950420379639,7.15500020980835
2024-09-30 18:42:25,-4.1610002517700195,2.2669501304626465,8.067000389099121
2024-09-30 18:42:28,-0.0690000057220459,-0.15900000929832458,9.612000465393066
2024-09-30 18:42:31,-0.07395000010728836,-0.13095000386238098,9.619050025939941
2024-09-30 18:42:34,-0.06000000238418579,-0.14505000412464142,9.633000373840332
2024-09-30 18:42:37,-0.0690000057220459,-0.15900000929832458,9.624000549316406
2024-09-30 18:42:40,-0.07395000010728836,-0.13095000386238098,9.619050025939941
2024-09-30 18:42:43,-0.06000000238418579,-0.14505000412464142,9.633000373840332
2024-09-30 18:42:46,-0.07605000585317612,-0.15195000171661377,9.616050720214844
2024-09-30 18:42:50,-0.07905000448226929,-0.15000000596046448,9.613950729370117
2024-09-30 18:42:53,-0.06195000186562538,-0.16695000231266022,9.631050109863281
2024-09-30 18:42:56,-0.08100000023841858,-0.12405000627040863,9.612000465393066
2024-09-30 18:42:59,-0.06195000186562538,-0.16695000231266022,9.631050109863281
2024-09-30 18:43:05,3.6310501098632812,8.059050559997559,6.382050514221191
